"activity" "subject" "variable" "meanvalue"
"140" "WALKING_UPSTAIRS" 24 "tBodyAcc-mean()-X" 0.269881106779661
"141" "WALKING_DOWNSTAIRS" 24 "tBodyAcc-mean()-X" 0.288631208909091
"142" "SITTING" 24 "tBodyAcc-mean()-X" 0.273475690147059
"143" "STANDING" 24 "tBodyAcc-mean()-X" 0.280348883913043
"144" "LAYING" 24 "tBodyAcc-mean()-X" 0.272850494930556
"145" "WALKING" 25 "tBodyAcc-mean()-X" 0.278992759054054
"146" "WALKING_UPSTAIRS" 25 "tBodyAcc-mean()-X" 0.277995411384615
"147" "WALKING_DOWNSTAIRS" 25 "tBodyAcc-mean()-X" 0.291329666206897
"148" "SITTING" 25 "tBodyAcc-mean()-X" 0.278541482461538
"149" "STANDING" 25 "tBodyAcc-mean()-X" 0.278013701621622
"150" "LAYING" 25 "tBodyAcc-mean()-X" 0.250791828613699
"151" "WALKING" 26 "tBodyAcc-mean()-X" 0.279264443728814
"152" "WALKING_UPSTAIRS" 26 "tBodyAcc-mean()-X" 0.272691394545455
"153" "WALKING_DOWNSTAIRS" 26 "tBodyAcc-mean()-X" 0.2792845828
"154" "SITTING" 26 "tBodyAcc-mean()-X" 0.258243530166667
"155" "STANDING" 26 "tBodyAcc-mean()-X" 0.281127035405405
"156" "LAYING" 26 "tBodyAcc-mean()-X" 0.271645864540789
"157" "WALKING" 27 "tBodyAcc-mean()-X" 0.276849485438596
"158" "WALKING_UPSTAIRS" 27 "tBodyAcc-mean()-X" 0.265770253921569
"159" "WALKING_DOWNSTAIRS" 27 "tBodyAcc-mean()-X" 0.2975441875
"160" "SITTING" 27 "tBodyAcc-mean()-X" 0.273941302571429
"161" "STANDING" 27 "tBodyAcc-mean()-X" 0.279566921625
"162" "LAYING" 27 "tBodyAcc-mean()-X" 0.274102492432432
"163" "WALKING" 28 "tBodyAcc-mean()-X" 0.281228223888889
"164" "WALKING_UPSTAIRS" 28 "tBodyAcc-mean()-X" 0.262005841764706
"165" "WALKING_DOWNSTAIRS" 28 "tBodyAcc-mean()-X" 0.293642076521739
"166" "SITTING" 28 "tBodyAcc-mean()-X" 0.276977629444444
"167" "STANDING" 28 "tBodyAcc-mean()-X" 0.277795069113924
"168" "LAYING" 28 "tBodyAcc-mean()-X" 0.2759134825
"169" "WALKING" 29 "tBodyAcc-mean()-X" 0.271999916792453
"170" "WALKING_UPSTAIRS" 29 "tBodyAcc-mean()-X" 0.265423066877551
"171" "WALKING_DOWNSTAIRS" 29 "tBodyAcc-mean()-X" 0.293140441083333
"172" "SITTING" 29 "tBodyAcc-mean()-X" 0.2771799775
"173" "STANDING" 29 "tBodyAcc-mean()-X" 0.277965065846154
"174" "LAYING" 29 "tBodyAcc-mean()-X" 0.287295196811594
"175" "WALKING" 30 "tBodyAcc-mean()-X" 0.276406758
"176" "WALKING_UPSTAIRS" 30 "tBodyAcc-mean()-X" 0.271415642261538
"177" "WALKING_DOWNSTAIRS" 30 "tBodyAcc-mean()-X" 0.283190646967742
"178" "SITTING" 30 "tBodyAcc-mean()-X" 0.268336081379032
"179" "STANDING" 30 "tBodyAcc-mean()-X" 0.277112699152542
"180" "LAYING" 30 "tBodyAcc-mean()-X" 0.281033900571429
"181" "WALKING" 1 "tBodyAcc-mean()-Y" -0.0173838185273684
"182" "WALKING_UPSTAIRS" 1 "tBodyAcc-mean()-Y" -0.0239531492643396
"183" "WALKING_DOWNSTAIRS" 1 "tBodyAcc-mean()-Y" -0.00991850461020408
"184" "SITTING" 1 "tBodyAcc-mean()-Y" -0.00130828765170213
"185" "STANDING" 1 "tBodyAcc-mean()-Y" -0.0161375901037736
"186" "LAYING" 1 "tBodyAcc-mean()-Y" -0.0405139534294
"187" "WALKING" 2 "tBodyAcc-mean()-Y" -0.0185949199145763
"188" "WALKING_UPSTAIRS" 2 "tBodyAcc-mean()-Y" -0.0214121132045833
"189" "WALKING_DOWNSTAIRS" 2 "tBodyAcc-mean()-Y" -0.0226614158361702
"190" "SITTING" 2 "tBodyAcc-mean()-Y" -0.0156879937282609
"191" "STANDING" 2 "tBodyAcc-mean()-Y" -0.0184208270166667
"192" "LAYING" 2 "tBodyAcc-mean()-Y" -0.0181587397583333
"193" "WALKING" 3 "tBodyAcc-mean()-Y" -0.0171767844203448
"194" "WALKING_UPSTAIRS" 3 "tBodyAcc-mean()-Y" -0.0324109410555932
"195" "WALKING_DOWNSTAIRS" 3 "tBodyAcc-mean()-Y" -0.0193554079328571
"196" "SITTING" 3 "tBodyAcc-mean()-Y" -0.00350299841730769
"197" "STANDING" 3 "tBodyAcc-mean()-Y" -0.0143376555065574
"198" "LAYING" 3 "tBodyAcc-mean()-Y" -0.0189556785048387
"199" "WALKING" 4 "tBodyAcc-mean()-Y" -0.0148399475341667
"200" "WALKING_UPSTAIRS" 4 "tBodyAcc-mean()-Y" -0.0319804295729615
"201" "WALKING_DOWNSTAIRS" 4 "tBodyAcc-mean()-Y" -0.00980200850666667
"202" "SITTING" 4 "tBodyAcc-mean()-Y" -0.007163065158
"203" "STANDING" 4 "tBodyAcc-mean()-Y" -0.00948911098553571
"204" "LAYING" 4 "tBodyAcc-mean()-Y" -0.0150031841055556
"205" "WALKING" 5 "tBodyAcc-mean()-Y" -0.0172850317482679
"206" "WALKING_UPSTAIRS" 5 "tBodyAcc-mean()-Y" -0.0325269755153191
"207" "WALKING_DOWNSTAIRS" 5 "tBodyAcc-mean()-Y" -0.00850107533191489
"208" "SITTING" 5 "tBodyAcc-mean()-Y" -0.00990083527045455
"209" "STANDING" 5 "tBodyAcc-mean()-Y" -0.00700418554517857
"210" "LAYING" 5 "tBodyAcc-mean()-Y" -0.0183042123269231
"211" "WALKING" 6 "tBodyAcc-mean()-Y" -0.0168954189082456
"212" "WALKING_UPSTAIRS" 6 "tBodyAcc-mean()-Y" -0.0272425385070588
"213" "WALKING_DOWNSTAIRS" 6 "tBodyAcc-mean()-Y" -0.019536840063125
"214" "SITTING" 6 "tBodyAcc-mean()-Y" -0.0145911615290909
"215" "STANDING" 6 "tBodyAcc-mean()-Y" -0.0181236327175439
"216" "LAYING" 6 "tBodyAcc-mean()-Y" -0.0102529170561404
"217" "WALKING" 7 "tBodyAcc-mean()-Y" -0.018653665345614
"218" "WALKING_UPSTAIRS" 7 "tBodyAcc-mean()-Y" -0.0275639005607843
"219" "WALKING_DOWNSTAIRS" 7 "tBodyAcc-mean()-Y" -0.0166332372978723
"220" "SITTING" 7 "tBodyAcc-mean()-Y" -0.01461097580375
"221" "STANDING" 7 "tBodyAcc-mean()-Y" -0.0145740341037736
"222" "LAYING" 7 "tBodyAcc-mean()-Y" -0.0204411516884615
"223" "WALKING" 8 "tBodyAcc-mean()-Y" -0.0186628865310417
"224" "WALKING_UPSTAIRS" 8 "tBodyAcc-mean()-Y" -0.0282415136341463
"225" "WALKING_DOWNSTAIRS" 8 "tBodyAcc-mean()-Y" -0.0211058674973684
"226" "SITTING" 8 "tBodyAcc-mean()-Y" -0.00672550621304348
"227" "STANDING" 8 "tBodyAcc-mean()-Y" -0.0148113067148148
"228" "LAYING" 8 "tBodyAcc-mean()-Y" -0.0212281733881481
"229" "WALKING" 9 "tBodyAcc-mean()-Y" -0.0180891971284423
"230" "WALKING_UPSTAIRS" 9 "tBodyAcc-mean()-Y" -0.0195101099975714
"231" "WALKING_DOWNSTAIRS" 9 "tBodyAcc-mean()-Y" -0.0203994269075476
"232" "SITTING" 9 "tBodyAcc-mean()-Y" -0.02701677698
"233" "STANDING" 9 "tBodyAcc-mean()-Y" -0.0200454954022222
"234" "LAYING" 9 "tBodyAcc-mean()-Y" -0.020526821662
"235" "WALKING" 10 "tBodyAcc-mean()-Y" -0.017022351190566
"236" "WALKING_UPSTAIRS" 10 "tBodyAcc-mean()-Y" -0.0143854920340426
"237" "WALKING_DOWNSTAIRS" 10 "tBodyAcc-mean()-Y" -0.0200050770710526
"238" "SITTING" 10 "tBodyAcc-mean()-Y" -0.015042681852037
"239" "STANDING" 10 "tBodyAcc-mean()-Y" -0.0155418603409091
"240" "LAYING" 10 "tBodyAcc-mean()-Y" -0.024294484137931
"241" "WALKING" 11 "tBodyAcc-mean()-Y" -0.0166475833623729
"242" "WALKING_UPSTAIRS" 11 "tBodyAcc-mean()-Y" -0.0303157822055556
"243" "WALKING_DOWNSTAIRS" 11 "tBodyAcc-mean()-Y" -0.0178097721219565
"244" "SITTING" 11 "tBodyAcc-mean()-Y" -0.0149195616754717
"245" "STANDING" 11 "tBodyAcc-mean()-Y" -0.0171990886595745
"246" "LAYING" 11 "tBodyAcc-mean()-Y" -0.0176598052315789
"247" "WALKING" 12 "tBodyAcc-mean()-Y" -0.015560927606
"248" "WALKING_UPSTAIRS" 12 "tBodyAcc-mean()-Y" -0.0263574903403846
"249" "WALKING_DOWNSTAIRS" 12 "tBodyAcc-mean()-Y" -0.018084266865793
"250" "SITTING" 12 "tBodyAcc-mean()-Y" -0.0157892988523529
"251" "STANDING" 12 "tBodyAcc-mean()-Y" -0.0169002543196721
"252" "LAYING" 12 "tBodyAcc-mean()-Y" -0.0175203917146667
"253" "WALKING" 13 "tBodyAcc-mean()-Y" -0.0185660651947368
"254" "WALKING_UPSTAIRS" 13 "tBodyAcc-mean()-Y" -0.0277392253910909
"255" "WALKING_DOWNSTAIRS" 13 "tBodyAcc-mean()-Y" -0.0143723839108511
"256" "SITTING" 13 "tBodyAcc-mean()-Y" -0.00587732936326531
"257" "STANDING" 13 "tBodyAcc-mean()-Y" -0.0167891993964912
"258" "LAYING" 13 "tBodyAcc-mean()-Y" -0.020440454366129
"259" "WALKING" 14 "tBodyAcc-mean()-Y" -0.0217785380966102
"260" "WALKING_UPSTAIRS" 14 "tBodyAcc-mean()-Y" -0.0204388180024074
"261" "WALKING_DOWNSTAIRS" 14 "tBodyAcc-mean()-Y" -0.0200141413657778
"262" "SITTING" 14 "tBodyAcc-mean()-Y" -0.00870565463888889
"263" "STANDING" 14 "tBodyAcc-mean()-Y" -0.01520781344
"264" "LAYING" 14 "tBodyAcc-mean()-Y" -0.0113424652490196
"265" "WALKING" 15 "tBodyAcc-mean()-Y" -0.0170809740090741
"266" "WALKING_UPSTAIRS" 15 "tBodyAcc-mean()-Y" -0.0287523860708333
"267" "WALKING_DOWNSTAIRS" 15 "tBodyAcc-mean()-Y" -0.00563047804309524
"268" "SITTING" 15 "tBodyAcc-mean()-Y" -0.0117188472271186
"269" "STANDING" 15 "tBodyAcc-mean()-Y" -0.0183516360396226
"270" "LAYING" 15 "tBodyAcc-mean()-Y" -0.0166296542054167
"271" "WALKING" 16 "tBodyAcc-mean()-Y" -0.0204286929452941
"272" "WALKING_UPSTAIRS" 16 "tBodyAcc-mean()-Y" -0.0143654945011765
"273" "WALKING_DOWNSTAIRS" 16 "tBodyAcc-mean()-Y" -0.0183898583787234
"274" "SITTING" 16 "tBodyAcc-mean()-Y" -0.0102497939956522
"275" "STANDING" 16 "tBodyAcc-mean()-Y" -0.0165999672935897
"276" "LAYING" 16 "tBodyAcc-mean()-Y" -0.0166103510562857
"277" "WALKING" 17 "tBodyAcc-mean()-Y" -0.0184875403339344
"278" "WALKING_UPSTAIRS" 17 "tBodyAcc-mean()-Y" -0.0228645614308333
"279" "WALKING_DOWNSTAIRS" 17 "tBodyAcc-mean()-Y" -0.0167359404347826
"280" "SITTING" 17 "tBodyAcc-mean()-Y" -0.014156274084375
"281" "STANDING" 17 "tBodyAcc-mean()-Y" -0.0174120064169231
"282" "LAYING" 17 "tBodyAcc-mean()-Y" -0.0168462006729577
"283" "WALKING" 18 "tBodyAcc-mean()-Y" -0.0178023631866071
"284" "WALKING_UPSTAIRS" 18 "tBodyAcc-mean()-Y" -0.0222060684378914
"285" "WALKING_DOWNSTAIRS" 18 "tBodyAcc-mean()-Y" -0.0168666920221818
"286" "SITTING" 18 "tBodyAcc-mean()-Y" -0.0128691279736842
"287" "STANDING" 18 "tBodyAcc-mean()-Y" -0.0166353518150685
"288" "LAYING" 18 "tBodyAcc-mean()-Y" -0.0173937684615385
"289" "WALKING" 19 "tBodyAcc-mean()-Y" -0.0191773587903846
"290" "WALKING_UPSTAIRS" 19 "tBodyAcc-mean()-Y" -0.0303986615775
"291" "WALKING_DOWNSTAIRS" 19 "tBodyAcc-mean()-Y" -0.0145942275069487
"292" "SITTING" 19 "tBodyAcc-mean()-Y" -0.016739260030137
"293" "STANDING" 19 "tBodyAcc-mean()-Y" -0.0154244056945205
"294" "LAYING" 19 "tBodyAcc-mean()-Y" -0.0171426864421687
"295" "WALKING" 20 "tBodyAcc-mean()-Y" -0.021199992245098
"296" "WALKING_UPSTAIRS" 20 "tBodyAcc-mean()-Y" -0.0282258047588235
"297" "WALKING_DOWNSTAIRS" 20 "tBodyAcc-mean()-Y" -0.00964120773155556
"298" "SITTING" 20 "tBodyAcc-mean()-Y" -0.0147229305131818
"299" "STANDING" 20 "tBodyAcc-mean()-Y" -0.0180695049161644
"300" "LAYING" 20 "tBodyAcc-mean()-Y" -0.0144406281132353
"301" "WALKING" 21 "tBodyAcc-mean()-Y" -0.0181610317526923
"302" "WALKING_UPSTAIRS" 21 "tBodyAcc-mean()-Y" -0.0237218695148936
"303" "WALKING_DOWNSTAIRS" 21 "tBodyAcc-mean()-Y" -0.0173195390157778
"304" "SITTING" 21 "tBodyAcc-mean()-Y" -0.0144009705494118
"305" "STANDING" 21 "tBodyAcc-mean()-Y" -0.0167084730205618
"306" "LAYING" 21 "tBodyAcc-mean()-Y" -0.0184233048415556
"307" "WALKING" 22 "tBodyAcc-mean()-Y" -0.0167213607957174
"308" "WALKING_UPSTAIRS" 22 "tBodyAcc-mean()-Y" -0.0268622561133333
"309" "WALKING_DOWNSTAIRS" 22 "tBodyAcc-mean()-Y" -0.0197999371686389
"310" "SITTING" 22 "tBodyAcc-mean()-Y" -0.0123468446419355
"311" "STANDING" 22 "tBodyAcc-mean()-Y" -0.0158563207496825
"312" "LAYING" 22 "tBodyAcc-mean()-Y" -0.0142629864502778
"313" "WALKING" 23 "tBodyAcc-mean()-Y" -0.0183618711932203
"314" "WALKING_UPSTAIRS" 23 "tBodyAcc-mean()-Y" -0.0323844029237255
"315" "WALKING_DOWNSTAIRS" 23 "tBodyAcc-mean()-Y" -0.0162111457238889
"316" "SITTING" 23 "tBodyAcc-mean()-Y" -0.0133945015676471
"317" "STANDING" 23 "tBodyAcc-mean()-Y" -0.0177475547867647
"318" "LAYING" 23 "tBodyAcc-mean()-Y" -0.0216553835833333
"319" "WALKING" 24 "tBodyAcc-mean()-Y" -0.0225446400534483
"320" "WALKING_UPSTAIRS" 24 "tBodyAcc-mean()-Y" -0.0251979434569492
"321" "WALKING_DOWNSTAIRS" 24 "tBodyAcc-mean()-Y" -0.0145730348310909
"322" "SITTING" 24 "tBodyAcc-mean()-Y" -0.0131255097938235
"323" "STANDING" 24 "tBodyAcc-mean()-Y" -0.0144785340348986
"324" "LAYING" 24 "tBodyAcc-mean()-Y" -0.0173555210111111
"325" "WALKING" 25 "tBodyAcc-mean()-Y" -0.0186477624716216
"326" "WALKING_UPSTAIRS" 25 "tBodyAcc-mean()-Y" -0.0269863524264615
"327" "WALKING_DOWNSTAIRS" 25 "tBodyAcc-mean()-Y" -0.0210170522987931
"328" "SITTING" 25 "tBodyAcc-mean()-Y" -0.0147696808030769
"329" "STANDING" 25 "tBodyAcc-mean()-Y" -0.0163569730274324
"330" "LAYING" 25 "tBodyAcc-mean()-Y" -0.0188943663671233
"331" "WALKING" 26 "tBodyAcc-mean()-Y" -0.0154259586949153
"332" "WALKING_UPSTAIRS" 26 "tBodyAcc-mean()-Y" -0.0281633797398182
"333" "WALKING_DOWNSTAIRS" 26 "tBodyAcc-mean()-Y" -0.01262580966778
"334" "SITTING" 26 "tBodyAcc-mean()-Y" -0.00713364541358974
"335" "STANDING" 26 "tBodyAcc-mean()-Y" -0.0166608306652703
"336" "LAYING" 26 "tBodyAcc-mean()-Y" -0.0191895728026316
"337" "WALKING" 27 "tBodyAcc-mean()-Y" -0.0166478783221912
"338" "WALKING_UPSTAIRS" 27 "tBodyAcc-mean()-Y" -0.0200953324078431
"339" "WALKING_DOWNSTAIRS" 27 "tBodyAcc-mean()-Y" -0.0135564467159091
"340" "SITTING" 27 "tBodyAcc-mean()-Y" -0.0155269799285714
"341" "STANDING" 27 "tBodyAcc-mean()-Y" -0.016593236445
"342" "LAYING" 27 "tBodyAcc-mean()-Y" -0.0179867611216216
"343" "WALKING" 28 "tBodyAcc-mean()-Y" -0.0156759722981481
"344" "WALKING_UPSTAIRS" 28 "tBodyAcc-mean()-Y" -0.0279443943478431
"345" "WALKING_DOWNSTAIRS" 28 "tBodyAcc-mean()-Y" -0.0220230465913043
"346" "SITTING" 28 "tBodyAcc-mean()-Y" -0.0185404441258333
"347" "STANDING" 28 "tBodyAcc-mean()-Y" -0.0172635124672152
